"","nest","site","species","status","cov_5m","final_fate","i","j","k","nest_age"
"1",10009,"RUTW","LETE","0,0,1",10,0,14,19,22,NA
"2",10010,"RUTW","LETE","0,0,0,0,0,0,1",5,0,14,31,34,NA
"3",10012,"RUTW","LETE","0,0,0,0,0",0,1,16,37,37,NA
"4",10021,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,31,36,NA
"5",10022,"RUTW","LETE","0,0,0,0,0,0,1",NA,6,22,31,36,NA
"6",10024,"RUTW","LETE","0,0,0,0,0,0,0,1",NA,6,22,36,40,NA
"7",10025,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"8",10026,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"9",10027,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"10",10028,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"11",10029,"RUTW","LETE","0,0,0,0,0,1",NA,6,22,30,36,NA
"12",10030,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,30,NA
"13",10031,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,30,NA
"14",10032,"RUTW","LETE","0,0,0,0,1",NA,6,22,31,34,NA
"15",10033,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,31,NA
"16",10034,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,31,NA
"17",10035,"RUTW","LETE","0,0,0,0,0,0,0,0",NA,1,22,42,42,NA
"18",10036,"RUTW","LETE","0,0,0,0,0,0,0,0,0,0",NA,1,22,45,45,NA
"19",10037,"RUTW","LETE","0,0,0,0,1",NA,6,22,29,31,NA
"20",10038,"RUTW","LETE","0,1,0,0,0,0,1",NA,6,22,36,40,NA
"21",10039,"RUTW","LETE","0,0,0,1",NA,0,22,26,29,NA
"22",10040,"RUTW","LETE","0,0,0,1",NA,6,22,26,29,NA
"23",10041,"RUTW","LETE","0,0,0,1",NA,6,22,26,29,NA
"24",10042,"RUTW","LETE","0,0,1",NA,6,22,26,29,NA
"25",10043,"RUTW","LETE","0,0",NA,6,22,22,26,NA
"26",10044,"RUTW","LETE","0,1",NA,6,22,22,26,NA
"27",10045,"RUTW","LETE","0,1",NA,6,22,22,26,NA
"28",10046,"RUTW","LETE","0,1",0,3,22,22,26,NA
"29",10047,"RUTW","LETE","0,0,0,1",NA,6,22,30,36,13
"30",10050,"RUTW","LETE","0,1",NA,4,22,22,26,NA
"31",10051,"RUTW","LETE","0,0,1",NA,0,22,26,30,NA
"32",10052,"RUTW","LETE","0,0,1",NA,0,22,26,30,NA
"33",10053,"RUTW","LETE","0,0,1",NA,6,22,26,30,NA
"34",10054,"RUTW","LETE","0,0,1",NA,2,22,26,30,NA
"35",10055,"RUTW","LETE","0,0,1",NA,2,22,26,30,NA
"36",10056,"RUTW","LETE","0,0,1",NA,2,22,26,30,NA
"37",10070,"RUTW","LETE","0,0,1",2,4,23,26,32,NA
"38",10071,"RUTW","LETE","0,1",0,2,23,23,26,NA
"39",10072,"RUTW","LETE","0,0,0,0,0",10,1,23,41,41,19
"40",10075,"RUTW","LETE","0,1",NA,0,23,23,32,NA
"41",10077,"RUTW","LETE","0,0,0",0,1,23,37,37,NA
"42",10087,"RUTW","CONI","0,0,0,0,1",95,5,26,40,45,NA
"43",10088,"RUTW","LETE","0,0,0,0,0,0,0,0,1",20,0,26,40,41,NA
"44",10102,"RUTW","LETE","0,0,1",10,2,41,46,50,NA
"45",10103,"RUTW","LETE","0,1",5,5,42,42,43,NA
"46",10108,"RUTW","LETE","0,0,0,1",5,0,45,51,58,NA
"47",10109,"RUTW","LETE","0,0,0,0,1",5,0,45,51,58,NA
"48",10113,"RUTE","CONI","0,0,1",80,4,51,54,60,NA
"49",10114,"RUTE","CONI","0,0",80,1,51,52,52,NA
"50",10115,"RUTE","CONI","0,0,0,1,0",75,1,51,69,69,NA
"51",10124,"RUTE","LETE","0,1",NA,2,60,60,64,NA
"52",10125,"RUTW","LETE","0,0,1",NA,2,60,64,69,NA
"53",10126,"RUTW","LETE","0,0,0,1",NA,4,60,69,74,0
"54",10150,"RUTW","CONI","0,0",70,1,71,74,74,NA
"55",10153,"RUTE","CONI","0,0,0,0,0,0,1",75,4,86,96,99,NA
"56",10175,"RUTW","CONI","0,0,0,0,0",25,1,86,103,103,NA
"57",10211,"RUTW","LETE","0,0,0,0,0",5,1,20,41,41,NA
"58",10213,"RUTW","LETE","0,1",5,5,20,20,23,NA
"59",10220,"RUTW","LETE","0,0,0,0,0",5,1,20,41,41,NA
"60",10223,"RUTW","LETE","0,0,0,1",NA,0,37,46,50,16
"61",10224,"RUTW","LETE","0,1",NA,4,32,32,37,NA
"62",10226,"RUTW","LETE","0,1",NA,0,41,41,46,NA
"63",10227,"RUTW","LETE","0,0,0,0",NA,1,37,54,54,NA
"64",10228,"RUTW","LETE","0,1",NA,0,37,37,41,NA
"65",10230,"RUTW","LETE","0,0,0,1",NA,0,37,46,50,NA
"66",10233,"RUTW","LETE","0,0,0,0,0,0",NA,1,37,60,60,NA
"67",10236,"RUTE","LETE","0,0,0,0,0",NA,1,45,58,58,NA
"68",10237,"RUTE","LETE","0,1",NA,5,39,39,45,NA
"69",10238,"RUTE","LETE","0,0,0,0,0",NA,1,45,60,60,NA
"70",10239,"RUTE","CONI","0,0,0",NA,1,39,51,51,NA
"71",10241,"RUTW","LETE","0,0,0,0,0,0",40,1,26,50,50,20
"72",10247,"RUTW","LETE","0,0,0,1",NA,5,32,41,46,NA
"73",10249,"RUTW","LETE","0,0,1",NA,5,32,37,46,NA
"74",10252,"RUTW","CONI","0,1,0,0",NA,1,37,50,50,NA
"75",10254,"RUTW","LETE","0,0,0,0,1",NA,6,32,46,50,NA
"76",10255,"RUTW","LETE","0,0,0,0,0,0",NA,1,32,51,51,NA
"77",10256,"RUTW","LETE","0,0,0,0,1",NA,0,32,46,50,20
"78",10257,"RUTW","LETE","0,0,0,0,1",NA,0,32,46,50,16
"79",10260,"RUTE","LETE","0,0,0,1",40,4,39,45,51,NA
"80",10261,"RUTE","LETE","0,0,0,1",40,4,39,45,51,NA
"81",10262,"RUTE","LETE","0,0,0,1",40,4,39,45,51,NA
"82",10263,"RUTE","LETE","0,0,0,0",40,1,45,50,50,NA
"83",10264,"RUTE","LETE","0,0,0,0",40,1,45,50,50,NA
"84",10265,"RUTE","LETE","0,0,0,0",40,1,45,51,51,NA
"85",10268,"RUTW","LETE","0,0,1",NA,5,36,40,45,NA
"86",10269,"RUTE","LETE","0,0,0,0",NA,1,39,54,54,NA
"87",10270,"RUTE","LETE","0,0,0",NA,1,39,49,49,NA
"88",10271,"RUTE","CONI","0,0",NA,1,39,45,45,NA
"89",10273,"RUTE","LETE","0,1",30,4,39,39,51,NA
"90",10275,"RUTW","LETE","0,0,0,0,0",20,5,40,47,51,NA
"91",10277,"RUTW","LETE","0,1",30,5,40,40,43,NA
"92",10278,"RUTW","LETE","0,0,1",30,5,40,43,45,NA
"93",10279,"RUTW","LETE","0,1,1",40,0,40,40,45,NA
"94",10281,"RUTW","LETE","0,0",30,5,40,40,45,NA
"95",10282,"RUTW","LETE","0,1",30,5,40,40,45,NA
"96",10283,"RUTW","LETE","0,0,0,0",30,1,51,58,58,NA
"97",10284,"RUTW","CONI","0,1,0",40,1,40,46,46,NA
"98",10285,"RUTW","LETE","0,1",30,2,46,46,50,NA
"99",10288,"RUTW","LETE","0,0,0,0,0",30,1,46,64,64,22
"100",10298,"RUTW","LETE","0,0,1",30,0,50,50,58,10
"101",10304,"RUTW","LETE","0,1",50,0,51,51,58,NA
"102",10307,"RUTW","LETE","0,1",40,0,51,51,58,2
"103",10308,"RUTW","LETE","0,1",40,0,51,51,58,4
"104",10310,"RUTE","LETE","0,0,0,0",30,1,65,81,81,19
"105",10311,"RUTE","LETE","0,0,0",NA,1,65,74,74,19
"106",10319,"RUTW","LETE","0,0,0",NA,1,68,77,77,21
"107",10322,"RUTW","LETE","0,0,1",NA,6,69,74,78,9
"108",10329,"RUTE","LETE","0,0,0,0,0,0,1",NA,0,69,89,94,21
"109",10331,"RUTW","CONI","0,0,0",NA,1,74,87,87,NA
"110",10335,"RUTW","CONI","0,0,0,0,0",NA,1,75,87,87,NA
"111",10338,"RUTW","LETE","0,0,1",NA,3,87,87,95,NA
"112",10339,"RUTW","LETE","0,0,1",NA,3,87,87,95,NA
"113",10341,"RUTW","CONI","0,1",NA,6,79,79,82,NA
"114",10342,"RUTW","CONI","0,1",NA,5,79,79,82,NA
"115",10343,"RUTW","CONI","0,0",NA,1,79,81,81,NA
"116",10344,"RUTW","CONI","0,0,1",50,4,79,86,87,NA
"117",10345,"RUTW","CONI","0,0,0,0,1",NA,0,79,88,95,NA
"118",10346,"RUTE","CONI","0,0,0",60,1,79,84,84,NA
"119",10348,"RUTE","CONI","0,1,0,0",50,1,79,94,94,NA
"120",10353,"RUTE","LETE","0,0,0,0,0,0,1",40,4,86,103,108,NA
"121",10355,"RUTW","CONI","0,0,1",70,0,89,95,103,12
"122",10356,"RUTW","LETE","0,0,0,1",NA,3,86,89,95,10
"123",10357,"RUTW","LETE","0,0,0,1",NA,4,86,89,95,17
"124",10358,"RUTW","LETE","0,0",NA,1,86,89,89,19
"125",10359,"RUTW","LETE","0,0,1",15,3,86,89,95,NA
"126",10360,"RUTW","CONI","0,0,0,1",NA,6,95,102,103,3
"127",10371,"RUTE","CONI","0,0,0",70,1,103,112,112,17
"128",20005,"RUTW","LETE","0,1",NA,3,21,21,28,NA
"129",20006,"RUTW","LETE","0,1",NA,3,21,21,28,NA
"130",20007,"RUTW","LETE","0,1",NA,3,21,21,28,NA
"131",20008,"RUTW","LETE","0,1",NA,6,21,21,28,NA
"132",20200,"RUTE","CONI","0,0,0,0,0,0,0,0,0",NA,1,25,44,44,20
"133",20201,"RUTE","LETE","0,0,0,0,0,0,0,0,0,0",NA,1,25,45,45,NA
"134",20202,"RUTE","LETE","0,0,0,0,0,0,0,0,0",NA,1,25,44,44,NA
"135",20203,"RUTE","LETE","0,0,0,0,0,0,0,0",NA,1,25,42,42,NA
"136",20204,"RUTE","LETE","0,0,0,0,0,0,0,0,0",NA,1,25,42,44,21
"137",20205,"RUTE","LETE","0,0,0,0,0,0,0,0,0",NA,1,25,44,44,NA
"138",20206,"RUTE","LETE","0,0,0,0,0,0,0,0",NA,1,25,42,42,NA
"139",20207,"RUTE","LETE","0,0,1",NA,0,25,28,30,NA
"140",20211,"RUTW","LETE","0,0,1",NA,6,28,32,35,NA
"141",20212,"RUTW","LETE","0,0,1",NA,6,28,32,35,NA
"142",20213,"RUTW","LETE","0,0,1",NA,2,28,32,35,NA
"143",20215,"RUTW","LETE","0,1",NA,6,28,28,30,NA
"144",20217,"RUTW","LETE","0,0,1",NA,2,28,32,35,NA
"145",20219,"RUTW","LETE","0,0,0,0,0,1",NA,0,28,37,40,NA
"146",20220,"RUTW","LETE","0,0,0,0,0,0,1",NA,0,28,42,44,NA
"147",20231,"RUTW","CONI","0,0,0,0,0,0,0,0",NA,1,30,44,45,NA
"148",20233,"RUTW","LETE","0,0,0,1",NA,0,35,40,42,NA
"149",20240,"RUTE","CONI","0,0,0,0,0",NA,1,37,45,45,20
"150",20241,"RUTW","LETE","0,0,0,0,1",NA,6,42,48,52,NA
"151",20243,"RUTE","LETE","0,0,0,0,0,0",20,1,42,53,55,NA
"152",20244,"RUTE","LETE","0,1",30,6,42,42,45,NA
"153",20245,"RUTE","LETE","0,1",30,6,42,42,45,NA
"154",20246,"RUTE","LETE","0,1",30,6,42,42,45,NA
"155",20247,"RUTE","LETE","0,0,1",50,4,42,45,48,NA
"156",20248,"RUTW","LETE","0,0,1",0,3,44,48,52,NA
"157",20249,"RUTW","LETE","0,0,0,0,0,0,0",20,1,44,61,61,23
"158",20250,"RUTW","LETE","0,0,0,0,0,0",50,1,44,61,65,21
"159",20252,"RUTE","LETE","0,0,0,0,0",20,1,48,58,61,NA
"160",20254,"RUTW","LETE","0,0,0,1",NA,5,52,57,61,NA
"161",20257,"RUTW","CONI","0,0,0",50,1,44,61,61,14
"162",20258,"RUTW","CONI","0,0",95,1,44,50,50,16
"163",20259,"RUTW","CONI","0",80,1,44,44,44,16
"164",20261,"RUTW","LETE","0,0,0,0,0,0,0",10,1,52,77,77,NA
"165",20262,"RUTE","LETE","0,0,0,0,0,0",30,1,53,70,70,NA
"166",20265,"RUTE","CONI","0,0,0,0",80,1,53,66,66,NA
"167",20268,"RUTW","CONI","0,0,0,1",95,4,57,65,70,NA
"168",20269,"RUTW","LETE","0,0,0,0,0",40,1,57,73,73,19
"169",20270,"RUTW","CONI","0,0,1",70,5,57,61,65,NA
"170",20271,"RUTW","LETE","0,0",10,6,57,57,61,NA
"171",20273,"RUTE","LETE","0,0,0,0,0",40,1,58,73,73,NA
"172",20276,"RUTE","CONI","0,0,0,0",75,1,61,73,73,19
"173",20277,"RUTE","LETE","0,1",50,0,61,61,66,NA
"174",20278,"RUTW","LETE","0,1",75,6,65,65,70,NA
"175",20279,"RUTW","LETE","0,1",75,6,65,65,70,NA
"176",20280,"RUTW","LETE","0,1",75,6,65,65,70,NA
"177",20282,"RUTW","LETE","0,1",20,5,65,65,70,NA
"178",20298,"RUTW","LETE","0,0,0,0",40,1,70,78,78,NA
"179",20299,"RUTW","LETE","0,0,0,0,1",40,4,70,81,83,12
"180",20300,"RUTW","CONI","0",90,1,46,46,46,16
"181",20301,"RUTW","CONI","0,0,0,0",80,0,46,57,59,20
"182",20303,"RUTW","LETE","0,1",40,6,49,49,52,NA
"183",20304,"RUTW","LETE","0,0",70,1,49,57,57,19
"184",20317,"RUTW","CONI","0,0,0,0",NA,1,53,67,67,16
"185",20320,"RUTW","CONI","0,0,0,0,0,1",90,4,53,71,77,27
"186",20321,"RUTW","CONI","0,0,0,0",60,1,53,67,67,19
"187",20322,"RUTW","CONI","0,0,0,1",50,4,57,70,70,26
"188",20324,"RUTW","CONI","0,1",90,4,59,59,63,6
"189",20401,"RUTW","LETE","0,0,0,0,0,0",10,1,70,85,85,NA
"190",20402,"RUTW","LETE","0,0,0,0,0,0,0",10,1,70,89,89,22
"191",20403,"RUTW","LETE","0,0,0,1",10,6,70,77,81,NA
"192",20404,"RUTW","CONI","0,0,1",90,6,70,73,77,NA
"193",20406,"RUTW","LETE","0,0,0,0,0,0,0",50,1,73,92,92,20
"194",20407,"RUTW","LETE","0,0,0,0,0,0",50,1,73,89,89,NA
"195",20408,"RUTW","LETE","0,0,0,0,0",50,1,73,85,85,21
"196",20409,"RUTW","LETE","0,0,1",50,4,73,77,81,NA
"197",20410,"RUTW","LETE","0,0,0,0,0,0,0,0",50,1,73,95,95,NA
"198",20411,"RUTW","LETE","0,1",50,5,73,73,77,NA
"199",20414,"RUTW","LETE","0,0,0,0,0,0,0,1",70,4,77,81,98,NA
"200",20415,"RUTW","LETE","0,0,0,0,0,0,0,0",40,1,78,98,98,24
"201",20416,"RUTW","LETE","0,0,0,0,0,0",40,1,78,92,92,NA
"202",20417,"RUTW","LETE","0,1,1,1",20,5,78,78,85,NA
"203",20418,"RUTW","CONI","0,0,0,0,0",40,1,78,89,89,NA
"204",20420,"RUTW","LETE","0,0,0,0,0,0,0,0",75,1,82,101,101,22
"205",20421,"RUTW","LETE","0,0,0,0",50,1,82,89,89,NA
"206",20422,"RUTW","LETE","0,0,0,0,0,0,1",40,4,82,92,98,15
"207",20423,"RUTW","LETE","0,0,0,0,0,0,0,1",75,2,82,98,101,NA
"208",20425,"RUTW","LETE","0,0,0,0,0,0,0",40,1,83,101,101,NA
"209",20426,"RUTW","LETE","0,0,1",25,6,83,85,89,NA
"210",20427,"RUTW","LETE","0,0,0,0,0",25,1,83,95,95,NA
"211",20428,"RUTW","LETE","0,0,0,0",25,0,83,89,92,NA
"212",20429,"RUTW","LETE","0,0,0,0,0,1",25,6,83,95,98,NA
"213",20432,"RUTW","LETE","0,0,0,0,0,1",10,6,85,98,101,NA
"214",20433,"RUTW","LETE","0,0,0,0,0,1",10,6,85,98,101,17
"215",20434,"RUTW","LETE","0,0,0,0,0,1",10,2,85,98,101,NA
"216",20435,"RUTW","LETE","0,0,1",0,6,85,89,92,NA
"217",20436,"RUTW","LETE","0,0,0,0,0",30,1,85,98,98,20
"218",20437,"RUTW","LETE","0,0,1",50,4,85,89,92,NA
"219",20438,"RUTW","LETE","0,0,0,0",10,1,85,95,95,NA
"220",20439,"RUTW","LETE","0,1",10,2,85,85,89,NA
"221",20440,"RUTW","LETE","0,1",10,2,85,85,89,NA
"222",20443,"RUTW","LETE","0,0,0,0,0",20,1,85,98,98,NA
"223",20444,"RUTW","LETE","0,0,0,0,0",75,1,85,98,98,NA
"224",20445,"RUTW","LETE","0,0,0",10,1,89,95,95,NA
"225",20446,"RUTW","LETE","0,0,0,0,0",0,1,89,101,101,NA
"226",20447,"RUTW","LETE","0,0,0,0,0",0,1,89,101,101,NA
"227",20448,"RUTW","LETE","0,1",0,6,89,89,92,NA
"228",20449,"RUTW","LETE","0,0,0,0,1",10,0,89,98,101,NA
"229",20450,"RUTW","LETE","0,0,0,1,0",30,1,89,101,101,NA
"230",20451,"RUTW","LETE","0,0,0",30,1,92,98,98,NA
"231",20452,"RUTW","LETE","0,0,0,0",30,1,92,101,101,NA
"232",20453,"RUTW","LETE","0,0,0,0",30,1,92,101,101,NA
"233",20455,"RUTW","LETE","0,1",0,3,95,95,98,NA
"234",20456,"RUTW","LETE","0,0,1",0,0,95,98,101,NA
"235",20457,"RUTW","LETE","0,0,0",10,1,95,101,101,NA
"236",20458,"RUTW","LETE","0,0,0",30,1,95,101,101,NA
"237",20459,"RUTW","LETE","0,0,1",10,3,98,101,103,NA
"238",20461,"RUTW","LETE","0,1",5,0,101,101,103,5
"239",20462,"RUTW","LETE","0,1",5,3,101,101,103,NA
"240",20463,"RUTW","LETE","0,1",30,3,101,101,103,18
"241",20464,"RUTW","LETE","0,1",0,3,101,101,103,NA
"242",20465,"RUTW","LETE","0,1",40,3,101,101,103,18
"243",20466,"RUTW","LETE","0,1",50,4,105,105,109,20
