"nest","site","species","status","cov_5m","i","j","k","fate_date","nest_age","obs_int","final_fate","cam_fate","year","num_excluded","hatchfail","c_hatchfail","was_mis","misclass","how_mis"
10047,"RUTW","LETE","1|1|1|0",NA,35,43,49,36,13,6,6,1,"2019",44,0,1,1,0,"M"
10072,"RUTW","LETE","1|1|1|1|1",10,36,54,54,41,19,4,1,1,"2019",44,1,1,0,1,"C"
10108,"RUTW","LETE","1|1|1|0",5,58,64,71,NA,NA,7,0,7,"2019",44,0,7,NA,0,"U"
10126,"RUTW","LETE","1|1|1|1",NA,73,82,87,60,0,5,6,4,"2019",44,0,0,0,0,"M"
10127,"RUTW","LETE","1|1|1|1|0",NA,73,87,91,75,19,4,1,1,"2019",44,1,1,0,1,"C"
10210,"RUTW","LETE","1|1|1|1|1|0",5,33,54,59,42,22,5,7,1,"2019",44,7,1,1,0,"N"
10223,"RUTW","LETE","1|1|1|0",NA,50,59,63,48,NA,4,0,6,"2019",44,0,0,0,0,NA
10225,"RUTW","LETE","1|1|1|1|1|0|0",NA,43,63,63,52,21,6,7,1,"2019",44,7,1,1,0,"N"
10234,"RUTW","LETE","1|0|1|1|1|1|0",NA,50,69,73,56,24,4,7,4,"2019",44,7,0,1,0,"N"
10240,"RUTW","LETE","1|0|0|0",40,39,39,45,34,NA,4,7,2,"2019",44,7,0,1,0,"N"
10241,"RUTW","LETE","1|1|1|1|1|1",40,39,63,63,50,19,4,1,2,"2019",44,1,0,1,0,NA
10242,"RUTW","LETE","1|0|0",5,39,NA,NA,37,10,5,7,2,"2019",44,7,0,1,0,"N"
10256,"RUTW","LETE","1|1|1|1|0",NA,45,59,63,48,20,4,0,2,"2019",44,0,0,0,0,NA
10257,"RUTW","LETE","1|1|1|1|0",NA,45,59,63,48,16,4,0,2,"2019",44,0,0,0,0,NA
10258,"RUTW","LETE","1|1|1|0",NA,45,54,59,48,15,5,7,2,"2019",44,7,0,1,0,"N"
10288,"RUTW","LETE","1|1|1|1|1",30,59,77,77,64,19,4,1,1,"2019",44,1,1,0,1,"C"
10298,"RUTW","LETE","1|1|0",30,63,63,71,56,10,4,0,0,"2019",44,0,0,0,1,"C"
10299,"RUTW","LETE","1|1|1|1|1|0|0|0|0|0",30,63,76,82,65,19,1,7,1,"2019",44,7,1,1,0,"N"
10310,"RUTE","LETE","1|1|1|1",30,78,94,94,81,19,7,1,1,"2019",44,1,1,0,1,"C"
10311,"RUTE","LETE","1|1|0",NA,78,87,87,69,19,5,1,1,"2019",44,1,1,0,1,"C"
10319,"RUTW","LETE","1|1|1|1",NA,81,90,90,77,19,1,1,1,"2019",44,1,1,0,1,"C"
10322,"RUTW","LETE","1|1|0",NA,82,87,91,78,9,4,6,6,"2019",44,0,0,0,1,"C"
10323,"RUTW","LETE","1|1|1|1|0",NA,75,94,94,80,18,6,NA,1,"2019",44,NA,1,NA,NA,NA
10329,"RUTE","LETE","1|1|1|1|1|1|0",NA,82,102,107,91,21,5,0,3,"2019",44,0,0,0,0,NA
10339,"RUTW","LETE","1|1|0",NA,100,100,108,91,NA,8,3,3,"2019",44,0,0,0,1,"C"
10353,"RUTE","LETE","1|1|1|1|1|1|1",40,99,116,121,NA,NA,5,4,4,"2019",44,0,0,0,1,"C"
10355,"RUTW","CONI","1|1|0",70,102,108,116,NA,NA,8,0,6,"2019",44,0,0,0,0,NA
10356,"RUTW","LETE","1|1|1|0",NA,99,102,108,92,10,6,3,6,"2019",44,0,0,0,0,"M"
10357,"RUTW","LETE","1|1|1|0",NA,99,102,108,NA,NA,6,4,4,"2019",44,0,0,0,1,"C"
10358,"RUTW","LETE","1|1",NA,99,102,102,89,19,3,1,2,"2019",44,1,0,1,0,NA
10359,"RUTW","LETE","1|1|0",15,99,102,108,92,NA,6,3,3,"2019",44,0,0,0,1,"C"
10360,"RUTW","CONI","1|1|1|0",NA,108,115,116,101,3,1,6,6,"2019",44,0,0,0,1,"C"
10371,"RUTE","CONI","1|1|1",70,116,125,125,112,16,3,1,1,"2019",44,1,1,0,1,"C"
20200,"RUTE","CONI","1|1|1|1|1|1|1|1|1",NA,38,57,57,45,16,2,1,1,"2020",44,1,1,0,1,"C"
20204,"RUTE","LETE","1|1|1|1|1|1|1|1|0",NA,38,55,57,44,19,2,1,1,"2020",44,1,1,0,1,"C"
20218,"RUTW","LETE","1|1|1|1|1|1|0",NA,41,55,57,44,19,2,1,1,"2020",44,1,1,0,1,"C"
20240,"RUTE","CONI","1|1|1|1|0",NA,50,58,58,46,16,1,1,1,"2020",44,1,1,0,1,"C"
20249,"RUTW","LETE","1|1|1|1|1|1|1",20,57,74,74,61,19,4,1,1,"2020",44,1,1,0,1,"C"
20250,"RUTW","LETE","1|1|1|1|1|0",50,57,74,78,65,19,4,1,1,"2020",44,1,1,0,1,"C"
20251,"RUTE","LETE","1|1|1|1|1|1|1|0",20,61,82,82,68,19,1,1,1,"2020",44,1,1,0,1,"C"
20256,"RUTW","CONI","1|0|1",80,57,74,74,61,16,2,1,1,"2020",44,1,1,0,1,"C"
20257,"RUTW","CONI","1|1|1",50,57,74,74,60,16,4,1,1,"2020",44,1,1,0,1,"C"
20258,"RUTW","CONI","1|1",95,57,63,63,50,16,6,1,1,"2020",44,1,1,0,1,"C"
20259,"RUTW","CONI","1",80,57,57,57,45,16,0,1,1,"2020",44,1,1,0,1,"C"
20260,"RUTW","CONI","1|1|0",60,57,71,74,61,NA,3,NA,4,"2020",44,NA,0,NA,NA,NA
20263,"RUTE","LETE","1|1|1|1|1|1|0",20,66,82,82,68,19,1,1,1,"2020",44,1,1,0,1,"C"
20264,"RUTE","LETE","1|1|1|1|1|1|0",30,66,90,90,76,19,4,1,1,"2020",44,1,1,0,1,"C"
20266,"RUTE","CONI","1|1|1|1|1|1|0",80,66,86,88,75,16,2,1,1,"2020",44,1,1,0,1,"C"
20269,"RUTW","LETE","1|1|1|1|1",40,70,86,86,72,19,3,1,1,"2020",44,1,1,0,1,"C"
20276,"RUTE","CONI","1|1|1|1",75,74,86,86,74,16,3,1,1,"2020",44,1,1,0,1,"C"
20300,"RUTW","CONI","1",90,59,59,59,47,16,0,1,1,"2020",44,1,1,0,1,"C"
20301,"RUTW","CONI","1|1|1",80,59,70,72,63,NA,2,0,6,"2020",44,0,0,0,0,NA
20303,"RUTW","LETE","1|0",40,62,62,65,52,NA,3,6,6,"2020",44,0,0,0,1,"C"
20304,"RUTW","LETE","1|1",70,62,70,70,56,19,8,1,1,"2020",44,1,1,0,1,"C"
20305,"RUTW","CONI","1|1|1|1",80,62,NA,NA,60,16,1,1,1,"2020",44,1,1,0,1,"C"
20317,"RUTW","CONI","1|1|1|1",NA,66,80,80,68,16,4,1,1,"2020",44,1,1,0,1,"C"
20318,"RUTE","CONI","1|1|1|1",70,66,88,88,76,16,9,1,1,"2020",44,1,1,0,1,"C"
20321,"RUTW","CONI","1|1|1|1",60,66,80,80,68,16,4,1,7,"2020",44,1,7,NA,0,"U"
20322,"RUTW","CONI","1",50,NA,NA,NA,67,21,0,7,0,"2020",44,7,0,1,0,"N"
20324,"RUTW","CONI","1|1",90,72,72,76,61,6,4,4,6,"2020",44,0,0,0,0,"M"
20352,"RUTE","CONI","1|1|1|1",40,NA,NA,NA,81,NA,5,7,1,"2020",44,7,1,1,0,"N"
20355,"RUTE","CONI","1|1|0",30,79,82,83,70,NA,1,7,0,"2020",44,7,0,1,0,"N"
20400,"RUTW","LETE","1|1|1|1|1|1",10,83,98,98,84,19,2,1,1,"2020",44,1,1,0,1,"C"
20402,"RUTW","LETE","1|1|1|1|1|1|1",10,83,102,102,89,19,4,1,1,"2020",44,1,1,0,1,"C"
20405,"RUTW","LETE","1|1|1|1|1|1|0",50,86,105,105,91,19,3,1,1,"2020",44,1,1,0,1,"C"
20406,"RUTW","LETE","1|1|1|1|1|1|0",50,86,105,105,91,19,3,1,1,"2020",44,1,1,0,1,"C"
20408,"RUTW","LETE","1|1|1|1|1",50,86,98,98,83,19,2,1,1,"2020",44,1,1,0,1,"C"
20415,"RUTW","LETE","1|1|1|1|1|1|1|0",40,91,111,111,99,19,3,1,1,"2020",44,1,1,0,1,"C"
20420,"RUTW","LETE","1|1|1|1|1|1|1|0",75,95,114,114,102,19,3,1,1,"2020",44,1,1,0,1,"C"
20422,"RUTW","LETE","1|1|1|1|1|0|0",40,95,105,111,98,15,3,4,0,"2020",44,0,0,0,0,"M"
20424,"RUTW","LETE","1|1|1|1|1|0",20,95,108,108,95,19,3,1,1,"2020",44,1,1,0,1,"C"
20433,"RUTW","LETE","1|1|1|1|1|0",10,98,111,114,101,17,3,6,0,"2020",44,0,0,0,0,"M"
20460,"RUTW","LETE","1|1|0",10,111,116,116,103,19,2,1,1,"2020",44,1,1,0,1,"C"
20461,"RUTW","LETE","1|0",5,114,114,116,103,5,2,3,3,"2020",44,0,0,0,1,"C"
20463,"RUTW","LETE","1|0",30,114,114,116,103,18,2,3,3,"2020",44,0,0,0,1,"C"
20465,"RUTW","LETE","1|0",40,114,114,116,103,18,2,3,3,"2020",44,0,0,0,1,"C"
20466,"RUTW","LETE","1|0",50,118,118,122,108,20,4,4,6,"2020",44,0,0,0,0,"M"
30018,"RUTE","LETE","1|0",NA,41,41,45,30,1,4,2,2,"2021",44,0,0,0,1,"C"
30104,"RUTE","LETE","1|1|0",NA,41,45,49,65,31,4,2,2,"2021",44,0,0,0,1,"C"
30122,"RUTE","CONI","1|1|1|0",NA,68,79,82,67,13,3,2,2,"2021",44,0,0,0,1,"C"
30124,"RUTE","CONI","1|1|1|1|1|0|0",NA,68,82,82,65,16,3,1,1,"2021",44,1,1,0,1,"C"
30309,"RUTE","CONI","1|1|0|0",5,108,112,112,99,16,2,1,1,"2021",44,1,1,0,1,"C"
30420,"RUTW","LETE","1|1|1|1|0",40,68,79,84,NA,NA,5,7,7,"2021",44,7,7,NA,1,"U"
30421,"RUTE","CONI","1|1|1|1|0|0",30,69,82,87,NA,NA,4,NA,2,"2021",44,NA,0,NA,NA,NA
30909,"RUTW","CONI","1|1|1|0",NA,56,64,64,51,16,4,1,7,"2021",44,1,7,NA,0,"U"
30911,"RUTW","LETE","1|0|0|0",10,56,62,62,44,NA,4,2,2,"2021",44,0,0,0,1,"C"
30912,"RUTW","LETE","1|0|0",5,56,56,64,47,3,2,5,2,"2021",44,0,0,0,0,"M"
30914,"RUTE","LETE","1|0",40,56,56,67,NA,NA,11,0,7,"2021",44,0,7,NA,0,"U"
30915,"RUTE","LETE","1|0",15,56,56,62,45,17,6,7,2,"2021",44,7,0,1,0,"N"
30916,"RUTE","LETE","1|1|0",30,56,56,67,49,5,5,0,7,"2021",44,0,7,NA,0,"U"
30917,"RUTE","LETE","1|1|1|0",30,56,71,75,59,16,4,7,1,"2021",44,7,1,1,0,"N"
30919,"RUTE","CONI","1|1|1",NA,62,67,75,NA,NA,8,4,4,"2021",44,0,0,0,1,"C"
30921,"RUTE","LETE","1|0",10,62,62,67,49,NA,5,0,2,"2021",44,0,0,0,0,NA
30922,"RUTE","CONI","1|1|0",30,62,67,67,52,16,8,1,1,"2021",44,1,1,0,1,"C"
30924,"RUTE","CONI","1|1|1|0",NA,62,75,79,63,16,4,1,1,"2021",44,1,1,0,1,"C"
30926,"RUTW","LETE","1|0",0,64,64,68,51,NA,4,0,2,"2021",44,0,0,0,0,NA
30927,"RUTW","LETE","1|0",0,64,64,68,51,0,4,0,2,"2021",44,0,0,0,0,NA
30929,"RUTW","LETE","1|0",0,64,64,68,52,NA,4,0,2,"2021",44,0,0,0,0,NA
30933,"RUTW","CONI","1|1|1|1|1|0",50,64,79,79,64,16,5,1,7,"2021",44,1,7,NA,0,"U"
30934,"RUTW","CONI","1|1|0|1|0",40,71,NA,75,59,-3,3,4,7,"2021",44,0,7,NA,0,"M"
30938,"RUTE","LETE","1|0",0,71,71,75,NA,NA,4,NA,7,"2021",44,NA,7,NA,NA,NA
30944,"RUTW","CONI","1|1|1",40,75,79,79,66,16,5,1,1,"2021",44,1,1,0,1,"C"
30946,"RUTW","LETE","1|0|1|0",20,75,NA,NA,NA,NA,16,7,7,"2021",44,7,7,NA,1,"U"
30950,"RUTE","LETE","1|1|0",0,75,79,82,54,NA,3,7,2,"2021",44,7,0,1,0,"N"
30951,"RUTE","LETE","1|1|1|1",0,75,82,82,69,19,9,1,1,"2021",44,1,1,0,1,"C"
30959,"RUTW","LETE","1|1|0",20,84,NA,NA,NA,NA,5,7,1,"2021",44,7,1,1,0,"N"
30960,"RUTW","LETE","1|1|0|0|0",0,84,NA,NA,NA,NA,4,7,7,"2021",44,7,7,NA,1,"U"
30961,"RUTW","LETE","1|0|0",5,84,84,91,71,NA,9,7,2,"2021",44,7,0,1,0,"N"
30963,"RUTW","CONI","1|1|1|1|1|1|0",5,84,87,87,73,16,1,1,1,"2021",44,1,1,0,1,"C"
30970,"RUTW","LETE","1|1|0|0",30,91,96,100,NA,NA,12,0,7,"2021",44,0,7,NA,0,"U"
